z,phi,C1,C2,C3,C4,C5,C6,fuel_temp,graphite_temp
0,0.001030720022240457,3.730798966375987e-05,7.585241695643554e-07,1.698637796377547e-08,7.879726961780574e-10,6.559059087653058e-11,3.746538287400154e-11,901.0692548085711,981.9375353626374
2.177215189873418,0.001543228704450844,3.725647343874891e-05,7.563798594277919e-07,1.725953052459682e-08,1.333110871913228e-09,1.558645051636304e-10,8.5118711600766e-11,901.161503003459,1019.674730835437
4.354430379746836,0.002048628375639031,3.720308019652985e-05,7.544317761016087e-07,1.769546543373487e-08,2.041105570242964e-09,2.671684179039628e-10,1.402379936988219e-10,901.2850077430381,1061.12661276159
6.531645569620253,0.002546018654985327,3.714460063356195e-05,7.52653878529241e-07,1.828649544187369e-08,2.900921554796291e-09,3.962673842556694e-10,2.006939517823067e-10,901.4391616745216,1102.102852809423
8.708860759493671,0.003034692831655539,3.707614644294824e-05,7.510100738411969e-07,1.90248873207157e-08,3.901855298285878e-09,5.402734345023e-10,2.648086041612772e-10,901.6231297624308,1142.322810735377
10.88607594936709,0.003514068133406503,3.699265812808105e-05,7.494633720552628e-07,1.990299846505662e-08,5.033553926615817e-09,6.966123720534816e-10,3.312614641382243e-10,901.8359732362067,1181.730078627215
13.06329113924051,0.003983647095659461,3.689136851326971e-05,7.479908021686436e-07,2.09134784881626e-08,6.286030949547804e-09,8.629935499623387e-10,3.990154317422341e-10,902.0767240486701,1220.284649335511
15.24050632911392,0.004442994816973378,3.677374517217513e-05,7.46595227361781e-07,2.204942600432023e-08,7.649672205542476e-09,1.037381486632752e-09,4.672577006257347e-10,902.3444933364347,1257.950239858985
17.41772151898734,0.004891724889638821,3.664537850213922e-05,7.453048074636145e-07,2.330439022009584e-08,9.115233054438365e-09,1.217969615352431e-09,5.353527507866501e-10,902.6385568692177,1294.693222333522
19.59493670886076,0.005329489950969052,3.65138641446269e-05,7.441603825960377e-07,2.467222331169536e-08,1.067382931060828e-08,1.403156295576696e-09,6.028050465430017e-10,902.9583520928948,1330.482310574813
21.77215189873418,0.005755974769911781,3.638593754818359e-05,7.431982654740245e-07,2.614687313020029e-08,1.231692497737001e-08,1.591523053303965e-09,6.692294857028676e-10,903.3033887732441,1365.288372102277
23.94936708860759,0.006170890859522626,3.626547545344976e-05,7.424381080999756e-07,2.772223370734819e-08,1.403631990161261e-08,1.781814931840896e-09,7.343280127551618e-10,903.6731272966314,1399.084310624712
26.12658227848101,0.006573972120829601,3.615301862695394e-05,7.418797275375073e-07,2.939209861120293e-08,1.582413858762493e-08,1.972922791376019e-09,7.978711177953316e-10,904.0668940567401,1431.844976988665
