z,phi,C1,C2,C3,C4,C5,C6,fuel_temp,graphite_temp
0,0.0006560801450147793,1.123663815726892e-07,1.353148037736004e-07,8.090858871493832e-09,4.404271702733765e-10,4.219823611065951e-11,2.410368705472464e-11,899.0063721476522,947.364726608943
2.177215189873418,0.000983518029156227,1.123314146547255e-07,1.352303472371402e-07,8.311951355860454e-09,7.967169064986629e-10,1.008385069061114e-10,5.508283753967547e-11,899.0632950405221,970.5150392735752
4.354430379746836,0.001309139214318009,1.123358887323099e-07,1.352819784400234e-07,8.642845726411512e-09,1.263739700942413e-09,1.739943514256565e-10,9.139491627978765e-11,899.1404444696633,996.8541536853114
6.531645569620253,0.001632440297773867,1.123794924454281e-07,1.354682206150653e-07,9.081052102501049e-09,1.83678182994077e-09,2.599173044213927e-10,1.318085221735286e-10,899.237724065192,1023.247008885186
8.708860759493671,0.001952936761879675,1.124618727589914e-07,1.35787408961821e-07,9.623937022084044e-09,2.511092854722646e-09,3.570167145239813e-10,1.753364308769867e-10,899.3548103740923,1049.43828872701
10.88607594936709,0.002270159990005207,1.125826166409797e-07,1.362376710406647e-07,1.026872610601671e-08,3.281888682337038e-09,4.638427675208654e-10,2.211835344647317e-10,899.4912623615859,1075.37169571478
13.06329113924051,0.002583655873307973,1.12741221898448e-07,1.368168971458662e-07,1.10125093651676e-08,4.144358233499312e-09,5.79072006388786e-10,2.687062830818459e-10,899.6465986162465,1101.004806965266
15.24050632911392,0.002892983927115329,1.129370747009383e-07,1.375227187474874e-07,1.185224706811136e-08,5.093670175962178e-09,7.014944889922462e-10,3.173808335857184e-10,899.8204121600696,1126.297098729613
17.41772151898734,0.003197716659862519,1.131694529435063e-07,1.383525171954317e-07,1.27847768537028e-08,6.124979177364071e-09,8.300023060519035e-10,3.667779863716963e-10,900.0124607057427,1151.209201091916
19.59493670886076,0.003497439126714684,1.134375548458889e-07,1.393034619955368e-07,1.380682213924112e-08,7.233431804840226e-09,9.635793273683613e-10,4.165434670026844e-10,900.2226620950524,1175.702845844094
21.77215189873418,0.003791748627047965,1.137405369443307e-07,1.403725601510259e-07,1.491500104050484e-08,8.41417226961109e-09,1.101292075134851e-09,4.663824279133616e-10,900.4509972476729,1199.740883152384
23.94936708860759,0.00408025450217832,1.1407754111094e-07,1.415566926162941e-07,1.610583465808241e-08,9.662348143447231e-09,1.242281625609211e-09,5.160472811110757e-10,900.6973788386979,1223.287324869064
26.12658227848101,0.004362577985862623,1.144477023416596e-07,1.428526282148003e-07,1.737575426705975e-08,1.097311607097376e-08,1.38575643271865e-09,5.653281531833416e-10,900.961560285612,1246.307393935634
28.30379746835443,0.004638352067164291,1.148501397071229e-07,1.442570178161318e-07,1.872110750788007e-08,1.234164742306298e-08,1.530985963832814e-09,6.140453967732504e-10,901.2431153401773,1268.767563955048
30.48101265822785,0.004907221341599593,1.152839400568265e-07,1.457663800480541e-07,2.013816410099328e-08,1.376313381348812e-08,1.677295044039641e-09,6.620437106145524e-10,901.541479458685,1290.635581828548
