z,phi,C1,C2,C3,C4,C5,C6,fuel_temp,graphite_temp
0,0.001000979233571464,7.086648786853457e-07,4.210783323391745e-07,1.788463021321684e-08,8.011749171842306e-10,6.417073569219846e-11,3.665439163297744e-11,899.528076954023,957.0617308019764
2.177215189873418,0.001500276594580648,7.0787098393698e-07,4.201607397108075e-07,1.813632326837108e-08,1.337050996670243e-09,1.530991248819549e-10,8.362391510473806e-11,899.6018362884986,984.6655481999162
4.354430379746836,0.001996160808504684,7.071251081393642e-07,4.194481901490642e-07,1.855387492277537e-08,2.038958779599067e-09,2.636916619816045e-10,1.384838311971754e-10,899.7012984022172,1015.556284582115
6.531645569620253,0.002487823626812285,7.064070044554922e-07,4.18934143776406e-07,1.913251368758022e-08,2.898754748028125e-09,3.93154480971394e-10,1.993057280686174e-10,899.8262361767926,1046.420268168357
8.708860759493671,0.002974509453242718,7.056861982426293e-07,4.186101902179788e-07,1.986728597211986e-08,3.908313480258948e-09,5.389554356317837e-10,2.64548416160625e-10,899.9761796666319,1076.993785933487
10.88607594936709,0.003455503984826326,7.04931087707579e-07,4.184675005113776e-07,2.075308015053854e-08,5.059536750239205e-09,6.987970350870858e-10,3.329760019658579e-10,900.1505277096337,1107.215085092183
13.06329113924051,0.003930128085918921,7.041238087560479e-07,4.184991917562731e-07,2.17846629911354e-08,6.344367573217136e-09,8.70593218431592e-10,4.03593989295653e-10,900.3486329167192,1137.036793191442
15.24050632911392,0.004397733592824908,7.032719402630621e-07,4.187021901687058e-07,2.295671085254683e-08,7.754803117619113e-09,1.052448581333861e-09,4.755990002573243e-10,900.5699287628631,1166.413892301635
17.41772151898734,0.004857700188908686,7.02407791762301e-07,4.190771251808969e-07,2.426382189990678e-08,9.282905531559358e-09,1.242639660270069e-09,5.483391309035216e-10,900.8140296507137,1195.302933114778
19.59493670886076,0.005309433022604683,7.015755792697292e-07,4.196263080595799e-07,2.570051029501013e-08,1.092081103756375e-08,1.43959809188164e-09,6.212826893115762e-10,901.0807264299505,1223.661947666392
21.77215189873418,0.005752360885541093,7.008141051476109e-07,4.203510004085175e-07,2.726119337273854e-08,1.266073794844108e-08,1.641895507811368e-09,6.939935594464206e-10,901.3698798982833,1251.450440923154
23.94936708860759,0.006185934806279055,7.001447135948051e-07,4.212495235149882e-07,2.894018601655851e-08,1.449499421561836e-08,1.848230024878722e-09,7.661118004202424e-10,901.6812764299673,1278.629417237642
26.12658227848101,0.006609626928269725,6.995684798492017e-07,4.2231683107676e-07,3.073170766262168e-08,1.641598473697814e-08,2.057414174762827e-09,8.373383721486156e-10,902.0145279427798,1305.161415724093
28.30379746835443,0.007022929563527182,6.990714791643507e-07,4.235453608871369e-07,3.262990021910419e-08,1.841621836563739e-08,2.268364108965768e-09,9.074231007320935e-10,902.3690496201845,1331.01053419681
30.48101265822785,0.007425354348671658,6.986335336793168e-07,4.249264329654443e-07,3.462885017902056e-08,2.048831439906605e-08,2.480089922648568e-09,9.761551816523122e-10,902.7441056891026,1356.142432694392
32.65822784810127,0.007816431467953255,6.982363319124847e-07,4.264515452826914e-07,3.672260922607849e-08,2.262500838701224e-08,2.691686962397938e-09,1.043355670935122e-09,903.1388845234079,1380.52432059991
34.83544303797468,0.008195708936210074,6.978682407103399e-07,4.281131433173227e-07,3.890520963610159e-08,2.481915719666896e-08,2.902328008229586e-09,1.108871538308434e-09,903.5525684016736,1404.124936613293
37.0126582278481,0.00856275194937312,6.975253540214879e-07,4.299047933398735e-07,4.117067400252894e-08,2.706374339928197e-08,3.111256242401267e-09,1.172570952932353e-09,903.9843752749838,1426.91453127503
