metric,reference,value,abs_error,rel_error
phi_mid,0.008712093052222794,nan,nan,nan
rho,0.0,0.0,0.0,0.0
power,9851254.808620162,nan,nan,nan
fuel_mid,895.5998349790184,nan,nan,nan
graphite_mid,1565.339539637374,nan,nan,nan
core_inlet,881.040439973759,848.9447631835938,32.09567679016527,0.03642928897919965
core_outlet,908.5780669187411,nan,nan,nan
hx1_hot_outlet,881.0484277095666,849.3837280273438,31.664699682222818,0.03593979477897773
hx1_cold_outlet,908.6864305481862,251.6904296875,656.9960008606862,0.7230172904247487
hx2_hot_outlet,849.3198598242209,829.4056396484375,19.914220175783385,0.023447255995997694
hx2_cold_outlet,909.5475013649625,872.6450805664062,36.90242079855625,0.04057228538715856
brayton_return,865.825008585532,831.57666015625,34.24834842928203,0.039555739427338046
