metric,reference,value,abs_error,rel_error
phi_mid,0.00894494413226084,0.008925490220439576,1.9453911821263464e-05,0.00217485000840877
rho,0.0,0.0,0.0,0.0
power,9819783.219838247,9798619.409139294,21163.810698952526,0.002155221782920493
fuel_mid,906.8577468995334,906.6422119140625,0.21553498547086747,0.0002376723209431276
graphite_mid,1580.2653220694813,1579.56884765625,0.6964744132312717,0.00044073258047527353
core_inlet,893.2205540123389,893.0221557617188,0.19839825062013006,0.00022211563507907074
core_outlet,919.4911800263931,919.2598876953125,0.23129233108056724,0.00025154382783087515
hx1_hot_outlet,893.4290824852861,893.2300415039062,0.19904098137988058,0.00022278319038619227
hx1_cold_outlet,918.976545314988,918.74462890625,0.2319164087380159,0.0002523637952680548
hx2_hot_outlet,856.8132609349061,856.5164184570312,0.2968424778748613,0.0003464494440141643
hx2_cold_outlet,917.7189257123904,917.4852905273438,0.23363518504663716,0.00025458250723692444
brayton_return,872.9472006516547,872.7322387695312,0.21496188212347533,0.00024624843514362195
