z,phi,C1,C2,C3,C4,C5,C6,fuel_temp,graphite_temp
0,0.0006641415710574934,1.155728517798364e-07,1.394258551236502e-07,8.342411394658781e-09,4.527930825229318e-10,4.328221104958109e-11,2.472286506923786e-11,881.040439973759,943.2209440517256
2.177215189873418,0.0009956317662722456,1.155365531291684e-07,1.39336941866833e-07,8.568567282138184e-09,8.182384914330209e-10,1.034355678796788e-10,5.650168590929731e-11,881.1052101985748,966.212934107059
4.354430379746836,0.001325366132102898,1.155407311223314e-07,1.393877549650412e-07,8.907490738842852e-09,1.297410851180229e-09,1.785021651560853e-10,9.37642154760166e-11,881.1901845675488,992.1689256858342
6.531645569620253,0.00165285032790185,1.15585054598752e-07,1.39576832955138e-07,9.356708761000534e-09,1.885563224840841e-09,2.667017875920457e-10,1.352535570403475e-10,881.295322060945,1018.151757253497
8.708860759493671,0.001977602209280814,1.156691255132546e-07,1.399024875184589e-07,9.91359175921645e-09,2.577900652168891e-09,3.66413406501437e-10,1.799612449941965e-10,881.4204507502573,1043.942020510491
10.88607594936709,0.002299151315498497,1.157924807743862e-07,1.403628103330568e-07,1.057536091046579e-08,3.369587243789977e-09,4.761586718059696e-10,2.270746285404475e-10,881.5653585086067,1069.487773084873
13.06329113924051,0.002617038591207194,1.159545940453173e-07,1.409556797803745e-07,1.133909529943017e-08,4.255752922058858e-09,5.945871928936453e-10,2.759355003456433e-10,881.7298006635075,1094.747138511241
15.24050632911392,0.002930816251173112,1.161548775196822e-07,1.416787675493361e-07,1.220173888772641e-08,5.231499859182973e-09,7.20463418962851e-10,3.260075682923001e-10,881.9135042493796,1119.679723775751
17.41772151898734,0.003240047731285465,1.163926836953056e-07,1.425295452173429e-07,1.316010737991125e-08,6.291908695707809e-09,8.5265495634548e-10,3.768508858542046e-10,882.1161713827906,1144.246212707393
19.59493670886076,0.003544307686927244,1.16667307164246e-07,1.435052908719516e-07,1.421089504143068e-08,7.432044606097886e-09,9.901221759469907e-10,4.28101758641523e-10,882.3374800147452,1168.408363658596
21.77215189873418,0.003843182012280057,1.169779864324521e-07,1.446030958190969e-07,1.535068150792475e-08,8.646963259300874e-09,1.131908977044106e-09,4.794569599975524e-10,882.5770821250951,1192.12903149766
23.94936708860759,0.004136267863300377,1.17323905777838e-07,1.458198714080506e-07,1.657593861144255e-08,9.9317167055462e-09,1.277134585523278e-09,5.306613365688051e-10,882.8346009579437,1215.372194472919
26.12658227848101,0.004423173673821747,1.177041971507251e-07,1.471523559864108e-07,1.788303723445124e-08,1.128135920352238e-08,1.424986275018062e-09,5.814980795482915e-10,883.1096293496281,1238.102982869895
28.30379746835443,0.004703519159265884,1.181179421165686e-07,1.485971219844542e-07,1.926825419066811e-08,1.269095298872316e-08,1.574712909362714e-09,6.317810909717413e-10,883.4017299827431,1260.287707741402
30.48101265822785,0.004976935306186744,1.185641738380939e-07,1.501505831185888e-07,2.072777912384011e-08,1.41555739752334e-08,1.725619214495537e-09,6.81348995687992e-10,883.7104373363048,1281.893888583663
32.65822784810127,0.005243064348601974,1.190418790928424e-07,1.518090016998309e-07,2.225772141270765e-08,1.567031738051095e-08,1.87706069763184e-09,7.300604456132615e-10,884.0352603938795,1302.890279252824
34.83544303797468,0.005501559733943635,1.195500003219341e-07,1.535684960326422e-07,2.385411707022381e-08,1.723030326300547e-08,2.028439140633791e-09,7.77790438553346e-10,884.3756852830008,1323.246891716676
37.0126582278481,0.005752086082683763,1.200874377062418e-07,1.554250478908848e-07,2.551293562654115e-08,1.883068196438111e-08,2.179198602866991e-09,8.244274335354756e-10,884.7311773092872,1342.935017448727
39.18987341772152,0.005994319146407103,1.206530512665578e-07,1.573745100589972e-07,2.72300869865534e-08,2.046663944966236e-08,2.328821876163327e-09,8.698710913782583e-10,885.1011822904577,1361.927246418575
41.36708860759494,0.006227945769468141,1.212456629845927e-07,1.594126139274238e-07,2.900142825360551e-08,2.213340253953859e-08,2.476827340896207e-09,9.140305059304063e-10,885.4851273487,1380.19748373315
43.54430379746836,0.006452663859481816,1.218640589417126e-07,1.615349771315515e-07,3.082277051117866e-08,2.382624402920374e-08,2.622766177705834e-09,9.568228201540992e-10,885.8824214463876,1397.720964049706
45.72151898734177,0.006668182371834758,1.22506991472337e-07,1.637371112234587e-07,3.268988555439727e-08,2.554048768807566e-08,2.766219894306398e-09,9.981721438110749e-10,886.2924559156158,1414.47426392506
47.89873417721519,0.00687422131320526,1.23173181328966e-07,1.660144293659636e-07,3.459851256338003e-08,2.727151313488924e-08,2.906798131205624e-09,1.038008707282118e-09,886.7146051468785,1430.435312290079
50.07594936708861,0.007070511768768793,1.23861319855996e-07,1.683622540391147e-07,3.65443647110607e-08,2.901476058332271e-08,3.044136714189609e-09,1.076268200086246e-09,887.1482274953072,1445.583399250227
52.25316455696203,0.007256795957353839,1.245700711698174e-07,1.70775824750455e-07,3.852313569917083e-08,3.076573545451396e-08,3.177895925116907e-09,1.112891253763059e-09,887.5926663824955,1459.899183412897
54.43037974683544,0.007432827318307257,1.252980743431521e-07,1.732503057420087e-07,4.053050621750068e-08,3.252001285440508e-08,3.307758965932804e-09,1.147823037552844e-09,888.04725152598,1473.364697933388
56.60759493670886,0.007598370633238925,1.260439455921011e-07,1.757807936887202e-07,4.256215032309181e-08,3.427324191552272e-08,3.433430593837862e-09,1.18101294221833e-09,888.5113002197708,1485.96335545569
58.78481012658228,0.007753202185154576,1.268062804648412e-07,1.783623253847081e-07,4.461374173740204e-08,3.602115000426059e-08,3.554635908207501e-09,1.21241433276653e-09,888.9841186050348,1497.679952101701
60.96202531645569,0.007897109956766728,1.27583656031264e-07,1.809898854149152e-07,4.668096006049736e-08,3.775954679574396e-08,3.671119272160471e-09,1.241984355045364e-09,889.4650028967881,1508.500670636985
63.13924050632912,0.008029893869013257,1.283746330730273e-07,1.836584138103493e-07,4.875949690183147e-08,3.948432821880706e-08,3.782643353635637e-09,1.269683784455114e-09,889.9532405573816,1518.413082912056
65.31645569620254,0.008151366060023884,1.291777582734713e-07,1.863628136850549e-07,5.084506192714266e-08,4.119148027350513e-08,3.888988272499254e-09,1.295476907535452e-09,890.4481114232663,1527.406151647498
67.49367088607595,0.008261351203969397,1.299915664066539e-07,1.890979588522947e-07,5.293338882049355e-08,4.287708272301284e-08,3.989950841620102e-09,1.319331429135692e-09,890.9488887959019,1535.470231600407
69.67088607594937,0.008359686868415326,1.308145825244235e-07,1.918587014162832e-07,5.502024115963371e-08,4.453731266088429e-08,4.085343891069739e-09,1.341218399385829e-09,891.4548405032326,1542.59707011806
71.84810126582279,0.008446223907989223,1.316453241400325e-07,1.946398793344401e-07,5.710141820185012e-08,4.616844795364728e-08,4.174995665675289e-09,1.361112155865492e-09,891.9652299296824,1548.779807054097
74.0253164556962,0.008520826891365425,1.324823034063803e-07,1.974363239437302e-07,5.917276057646539e-08,4.776687055774129e-08,4.258749287108353e-09,1.3789902772968e-09,892.4793170052438,1554.01297399307
76.20253164556962,0.008583374557781805,1.333240292866154e-07,2.002428674434846e-07,6.123015587931116e-08,4.932906970902128e-08,4.336462272560096e-09,1.394833545823763e-09,892.9963591417402,1558.292492700599
78.37974683544304,0.0086337602985385,1.341690097145929e-07,2.030543503263128e-07,6.326954416395761e-08,5.085164498252233e-08,4.408006102844126e-09,1.408625915527059e-09,893.5156121084,1561.615672690355
80.55696202531645,0.00867189265820063,1.35015753742589e-07,2.058656287484104e-07,6.528692332427619e-08,5.233130921993992e-08,4.473265833491919e-09,1.4203544852889e-09,894.0363308489333,1563.981207774907
82.73417721518987,0.008697695849546749,1.35862773673725e-07,2.086715818307452e-07,6.727835436302856e-08,5.376489132229312e-08,4.532139743061779e-09,1.430009474490216e-09,894.5577702559382,1565.389171446869
84.9113924050633,0.008711110275686086,1.367085871767177e-07,2.114671188831394e-07,6.923996654152767e-08,5.51493389054156e-08,4.584539013469182e-09,1.437584200308108e-09,895.0791859322384,1565.841010918851
