metric,reference,value,abs_error,rel_error
phi_mid,0.008712457160785227,0.008951333033479156,0.00023887587269392878,0.027417738565086915
rho,0.0,0.0,0.0,0.0
power,9853134.883714596,9853054.010784607,80.87292998842895,8.207837499727818e-06
fuel_mid,895.6053344235944,863.0045776367188,32.60075678687565,0.0364008068440741
graphite_mid,1564.94818634759,1527.5252685546875,37.42291779290258,0.023913199247984938
core_inlet,881.0424178405581,848.1561279296875,32.88628991087057,0.03732656821617639
core_outlet,908.5887900566287,873.1708984375,35.41789161912868,0.038981211310037435
hx1_hot_outlet,881.0388503909103,848.591552734375,32.447297656535284,0.03682845273183886
hx1_cold_outlet,908.7403822930802,873.2157592773438,35.52462301573644,0.03909215845134447
hx2_hot_outlet,849.334524683474,829.168212890625,20.166311792849,0.023743661898548735
hx2_cold_outlet,909.6823281195421,872.0794677734375,37.60286034610465,0.04133625462839949
brayton_return,865.9594536914702,831.0781860351562,34.88126765631398,0.04028048600615163
