series,max_abs_error,rms_error
phi,1.9453897445039295e-05,1.3876850611239076e-05
fuel_temp,0.23131522615688027,0.2156597311568703
graphite_temp,0.7219771242587285,0.5195430521457972
C1,3.106657158895204e-10,2.727929466862343e-10
C2,5.622999838972469e-10,4.454509310900047e-10
C3,2.1426300761029218e-10,1.5107543884637115e-10
C4,1.5032366513126368e-10,1.0795840147887477e-10
C5,1.0481221767276967e-11,7.511403201447318e-12
C6,3.1877194501542734e-12,2.2763115780933188e-12
