time_s,phi_mid,rho,power,fuel_mid,graphite_mid,core_inlet,core_outlet,hx1_hot_outlet,hx1_cold_outlet,hx2_hot_outlet,hx2_cold_outlet,brayton_return
394,0.006987003542755513,0.0025,1323.202490530098,1854.032234621845,2957.824981863221,1171.4725370634,2151.36575052159,1172.672136243243,2226.181447517895,1830.711521174396,2572.267796249463,2462.246097599118
395,0.008621476618984162,0.0025,1631.160459377587,1853.598092359374,2955.271526456403,1171.982795681305,2151.082393996361,1172.547328872885,2224.573883237238,1823.71037051179,2560.746199957027,2448.779964449664
396,0.01141263837252887,0.0025,2157.188586233941,1852.991870241444,2952.72288449208,1172.349427147873,2150.590221686081,1172.318923920919,2222.96668164521,1816.78704384108,2549.668722950171,2435.857441339318
397,0.01532611074326128,0.0025,2894.197621269824,1852.223073112815,2950.178702793952,1172.581039934441,2149.899383458371,1171.994030047452,2221.349025168356,1809.94818699918,2539.01282905267,2423.454410481241
398,0.01787115344480509,0.0025,3371.708584986286,1851.300837535345,2947.638550904045,1172.685941244927,2149.019885770064,1171.579463561044,2219.711451506354,1803.199661849154,2528.756730427044,2411.547225317106
399,0.01638486339342624,0.0025,3088.506122489491,1850.233939931974,2945.101913523102,1172.672136243243,2147.961520054671,1171.081752770427,2218.045745657193,1796.546589964797,2518.879404713274,2400.112761813235
400,0.0132166032721206,0.0025,2489.089469630384,1849.031021430921,2942.568390680062,1172.547328872885,2146.733791848828,1170.507142783945,2216.344838149709,1789.993395377654,2509.360606881605,2389.128463351599
401,0.01068293571439747,0.0025,2010.170567500899,1847.700569698602,2940.037695838051,1172.318923920919,2145.345927553195,1169.861600661017,2214.602709510134,1783.543846409366,2500.180876158024,2378.572379262088
402,0.009074063779236516,0.0025,1705.973167441172,1846.250751995913,2937.509574009273,1171.994030047452,2143.806932029162,1169.150820845814,2212.8143000837,1777.201096572173,2491.321538387336,2368.423197168217
403,0.008166095690529439,0.0025,1533.978077606534,1844.689369661592,2934.983780299792,1171.579463561044,2142.125603939983,1168.380230832985,2210.975423136881,1770.967724495941,2482.764704237932,2358.66026943009
404,0.007770852650818747,0.0025,1458.524616289978,1843.023898221026,2932.46008051118,1171.081752770427,2140.31053028274,1167.55499702979,2209.08268023147,1764.845772828858,2474.493263696623,2349.263634035609
405,0.00778187522434492,0.0025,1459.404543282555,1841.261518429624,2929.93825367296,1170.507142783945,2138.370059341366,1166.680030789224,2207.13338271804,1758.836786054144,2466.490877317991,2340.214030302965
406,0.008150888989425497,0.0025,1527.385156372737,1839.409126252104,2927.418093672123,1169.861600661017,2136.31223801451,1165.759994595781,2205.12548346971,1752.941847162879,2458.741964671689,2331.492909740172
407,0.008868519414207673,0.0025,1660.552266995629,1837.473336418846,2924.899410120851,1169.150820845814,2134.144774921904,1164.799308390074,2203.057517022757,1747.161613123156,2451.231690371535,2323.082442390191
408,0.009930763018265822,0.0025,1858.007358775847,1835.460484877964,2922.382027887261,1168.380230832985,2131.875056519841,1163.802156021195,2200.928545115355,1741.496349088682,2443.945947963725,2314.965518995978
409,0.01124472814695555,0.0025,2102.241215856855,1833.376628967341,2919.86578285878,1167.55499702979,2129.510174938972,1162.772491816862,2198.738105283625,1735.945961295713,2436.871341876034,2307.125749355688
410,0.01243792481143406,0.0025,2323.568864829138,1831.22754256816,2917.3505100792,1166.680030789224,2127.056940812975,1161.71404726142,2196.486159684083,1730.510028605424,2429.995167739035,2299.547457278854
411,0.01273780724311361,0.0025,2377.833795584207,1829.018710724292,2914.836027081309,1165.759994595781,2124.521883068336,1160.630337770972,2194.173044518748,1725.187832658398,2423.305391555106,2292.215672569035
412,0.01153989092916194,0.0025,2152.647073558048,1826.755350332024,2912.322140006745,1164.799308390074,2121.911242331723,1159.524669553642,2191.79942346598,1719.978386617507,2416.790628142893,2285.116120439237
413,0.009351108545217923,0.0025,1743.105101394094,1824.44246471117,2909.808687545524,1163.802156021195,2119.230968590671,1158.400146541626,2189.366246804751,1714.880462484145,2410.440119134437,2278.235208711774
414,0.007254374781665471,0.0025,1351.309155603163,1822.084862205794,2907.29556343811,1162.772491816862,2116.486738030985,1157.25967738043,2186.874715278398,1709.89261698057,2404.243710671111,2271.560013056649
415,0.005817962990847227,0.0025,1082.990362290666,1819.687117021914,2904.782695261741,1161.71404726142,2113.683985434492,1156.10598245958,2184.326247161865,1705.013215998309,2398.191830812955,2265.078260453421
416,0.005081708432149983,0.0025,945.2933417997981,1817.253540030366,2902.270022629075,1160.630337770972,2110.827927466465,1154.941600968205,2181.7224475103,1700.240457620146,2392.275466658959,2258.778311161505
417,0.004881287673053152,0.0025,907.3995098414769,1814.788185963292,2899.757488387538,1159.524669553642,2107.923565891259,1153.768897958188,2179.065079421962,1695.572393731198,2386.486141299626,2252.64913963482
418,0.004995474090343799,0.0025,928.0090482169497,1812.294873100107,2897.245035765977,1158.400146541626,2104.975675347227,1152.59007139715,2176.356038261551,1691.006950242664,2380.815890812886,2246.680314772614
419,0.005290103770064433,0.0025,982.0992457811933,1809.777201957291,2894.732611333436,1157.25967738043,2101.988782752133,1151.407159193377,2173.597329918882,1686.541945959095,2375.257241488472,2240.861979760436
420,0.005776925587559475,0.0025,1071.786167333695,1807.238569734924,2892.220170343609,1156.10598245958,2098.967155378206,1150.222046174917,2170.791052682619,1682.175110125808,2369.803187392141,2235.184831635157
421,0.006572083814267146,0.0025,1218.537777678087,1804.682178676156,2889.707680431795,1154.941600968205,2095.914810161278,1149.036471005444,2167.939381105244,1677.90409869635,2364.447168323372,2229.640100587406
422,0.00786657559099589,0.0025,1457.639454040457,1802.111041302036,2887.195124136425,1153.768897958188,2092.835535351132,1147.852033020079,2165.044550311719,1673.726509361204,2359.183048201363,2224.219528999184
423,0.009809827872760486,0.0025,1816.594297068986,1799.527981925312,2884.682496764046,1152.59007139715,2089.73291025321,1146.670198965124,2162.108839841689,1669.63989538165,2354.005093944594,2218.915350327797
424,0.01199044305829346,0.0025,2219.05234961082,1796.935621242144,2882.169783466969,1151.407159193377,2086.610317030385,1145.49230962652,2159.134557314775,1665.641778278664,2348.907954954276,2213.72026802953
425,0.01288683631594199,0.0025,2383.515646969568,1794.336347672738,2879.656914341046,1150.222046174917,2083.470939797866,1144.319586332865,2156.124023316045,1661.729659432452,2343.886643303942,2208.627434692613
426,0.0116780341301147,0.0025,2158.661074883144,1791.732369119768,2877.143792105082,1149.036471005444,2080.317747832835,1143.153137319925,2153.079558644883,1657.901030650841,2338.936514671833,2203.630431481573
427,0.009672482950062219,0.0025,1786.896246907839,1789.125817006163,2874.630377070966,1147.852033020079,2077.153485451378,1141.993963944765,2150.003473978328,1654.153383764202,2334.053249980778,2198.723247942078
428,0.008011423521812963,0.0025,1479.180696293364,1786.518726392809,2872.116680129364,1146.670198965124,2073.980702098213,1140.842966738929,2146.898061276371,1650.484219301208,2329.232837665803,2193.900262198194
429,0.006933977741685157,0.0025,1279.521430528229,1783.912965877795,2869.602726232041,1145.49230962652,2070.801799189829,1139.700951291415,2143.765585882176,1646.891054295655,2324.471556496585,2189.156221601841
430,0.006369483332348711,0.0025,1174.69787229889,1781.310226087636,2867.088541557809,1144.319586332865,2067.619053526654,1138.568633953503,2140.608278068221,1643.371429272829,2319.76595893978,2184.486223935541
431,0.006210702871506074,0.0025,1144.781924644515,1778.712044497092,2864.574151662227,1143.153137319925,2064.434622292021,1137.446647358741,2137.428324018726,1639.922914464508,2315.112855103549,2179.885699262119
432,0.006369686867768081,0.0025,1173.446452481692,1776.119826061275,2862.059581922803,1141.993963944765,2061.25052830132,1136.335545752597,2134.227858625523,1636.543115302437,2310.509297319647,2175.350392454958
433,0.00680483281646295,0.0025,1252.936307855133,1773.534855014804,2859.544859102196,1140.842966738929,2058.068632451018,1135.235810127504,2131.008961910032,1633.229677239347,2305.952565393368,2170.876346376469
434,0.007530545627949962,0.0025,1385.822058355173,1770.95830306646,2857.030013316581,1139.700951291415,2054.890625319551,1134.147853160244,2127.773657990843,1629.980289944695,2301.440152507244,2166.459885631667
