simulation_index,step,time,point_index,z,C1,C2,C3,C4,C5,C6
1.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.471305604250776986e-14,1.727498650914044562e-13,1.229174072396170315e-13,1.307793663707978709e-13,2.226868710675552938e-14,1.271991059838748660e-14
1.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,1.000000000000000000e+00,2.177215189873417778e+00,1.174372902783817414e-13,3.886642929537016249e-13,3.014945781800605000e-13,3.223716646657123437e-13,5.323104431420006003e-14,2.907779966365858162e-14
1.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,2.000000000000000000e+00,4.354430379746835555e+00,2.009220035143166764e-13,6.756719964515591857e-13,5.372960293727690081e-13,5.724987084585674841e-13,9.188936297252173563e-14,4.826944899192663700e-14
1.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,3.000000000000000000e+00,6.531645569620253333e+00,3.050178736474239205e-13,1.033095129811741656e-12,8.291190916979253352e-13,8.787801320948270576e-13,1.373358721545868334e-13,6.965163481838334402e-14
1.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,4.000000000000000000e+00,8.708860759493671111e+00,4.295411846499568576e-13,1.460138454904093934e-12,1.175678442758980076e-12,1.238807518309323397e-12,1.887436004019400748e-13,9.270809375241781548e-14
1.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,5.000000000000000000e+00,1.088607594936708978e+01,5.742741504190481718e-13,1.955891269133761100e-12,1.575609274869745280e-12,1.650147543068893089e-12,2.453578980751849206e-13,1.170225752209670454e-13
1.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,6.000000000000000000e+00,1.306329113924050667e+01,7.389650362034041778e-13,2.519328919933395272e-12,2.027470443642962603e-12,2.110345087079190222e-12,3.064889011678947223e-13,1.422576661585570235e-13
1.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,7.000000000000000000e+00,1.524050632911392356e+01,9.233284734412944506e-13,3.149314753436136086e-12,2.529747649454154153e-12,2.616926293826119114e-12,3.715048295275414180e-13,1.681381508254015945e-13
1.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,8.000000000000000000e+00,1.741772151898734222e+01,1.127046301000668027e-12,3.844603218477527631e-12,3.080856715546403588e-12,3.167401581599032169e-12,4.398260287551474268e-13,1.944379359117226989e-13
1.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,9.000000000000000000e+00,1.959493670886076089e+01,1.349768934445923572e-12,4.603844134215786275e-12,3.679146976616280221e-12,3.759268627944650303e-12,5.109196771370333528e-13,2.209697797926642368e-13
1.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,1.000000000000000000e+01,2.177215189873417955e+01,1.591116951999053451e-12,5.425587451166145989e-12,4.322904731088550937e-12,4.390015338753244910e-12,5.842950868607840000e-13,2.475772272327698986e-13
