simulation_index,step,time,point_index,z,C1,C2,C3,C4,C5,C6
7.770000000000000000e+02,3.590000000000000000e+02,3.589999999999999858e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.924001324271536016e-08,1.223670297263323131e-07,8.977329847836907820e-09,2.890008128927770827e-10,1.179084217928870319e-11,7.131361924427198346e-12
7.770000000000000000e+02,3.590000000000000000e+02,3.589999999999999858e+01,1.000000000000000000e+00,1.081761006289308158e+00,9.920386510193545818e-08,1.222529222844866408e-07,9.001277471635304909e-09,3.838101872536801399e-10,2.879663078829275801e-11,1.697816438764673220e-11
7.770000000000000000e+02,3.590000000000000000e+02,3.589999999999999858e+01,2.000000000000000000e+00,2.163522012578616316e+00,9.917820515901915204e-08,1.221751466612738514e-07,9.055315447835595394e-09,5.102012599098677995e-10,5.070941493967132379e-11,2.921237478249701596e-11
7.770000000000000000e+02,3.590000000000000000e+02,3.589999999999999858e+01,3.000000000000000000e+00,3.245283018867924696e+00,9.916300310733092982e-08,1.221335654254852534e-07,9.139166378109692528e-09,6.675704139051505545e-10,7.723626664536197055e-11,4.354339691763176699e-11
7.770000000000000000e+02,3.590000000000000000e+02,3.589999999999999858e+01,4.000000000000000000e+00,4.327044025157232632e+00,9.915820925447366898e-08,1.221280004686943723e-07,9.252541473860228698e-09,8.553095903015949628e-10,1.080984834126288802e-10,5.971364747316069875e-11
7.770000000000000000e+02,3.590000000000000000e+02,3.589999999999999858e+01,5.000000000000000000e+00,5.408805031446540568e+00,9.916372669870895403e-08,1.221581864780997672e-07,9.395141150262216501e-09,1.072806738739450464e-09,1.430308121109494509e-10,7.749464945826476466e-11
7.770000000000000000e+02,3.590000000000000000e+02,3.589999999999999858e+01,6.000000000000000000e+00,6.490566037735849392e+00,9.917935382898605097e-08,1.222236746259089663e-07,9.566655903796302474e-09,1.319446378561000037e-09,1.817807135431333133e-10,9.668358794246729998e-11
7.770000000000000000e+02,3.590000000000000000e+02,3.589999999999999858e+01,7.000000000000000000e+00,7.572327044025157328e+00,9.920468959717302845e-08,1.223236738716966763e-07,9.766767578296722360e-09,1.594610333674126755e-09,2.241076695300252904e-10,1.171002749835798690e-10
7.770000000000000000e+02,3.590000000000000000e+02,3.589999999999999858e+01,8.000000000000000000e+00,8.654088050314465264e+00,9.923901202704147056e-08,1.224568475349740685e-07,9.995150935373152643e-09,1.897678614061411538e-09,2.697825323383190539e-10,1.385844757982246959e-10
7.770000000000000000e+02,3.590000000000000000e+02,3.589999999999999858e+01,9.000000000000000000e+00,9.735849056603774088e+00,9.928116930287838021e-08,1.226211312589367233e-07,1.025147514686058524e-08,2.228030279959718180e-09,3.185869151428063654e-10,1.609935534455692191e-10
7.770000000000000000e+02,3.590000000000000000e+02,3.589999999999999858e+01,1.000000000000000000e+01,1.081761006289308114e+01,9.932954862558275257e-08,1.228136817930657631e-07,1.053540455205305611e-08,2.585043996790686908e-09,3.703126209518697912e-10,1.842003941456111905e-10
7.770000000000000000e+02,3.590000000000000000e+02,3.589999999999999858e+01,1.100000000000000000e+01,1.189937106918238996e+01,9.938218995283033376e-08,1.230310691084289759e-07,1.084659797818028274e-08,2.968097961692226791e-09,4.247611057527469720e-10,2.080915796102559244e-10
7.770000000000000000e+02,3.590000000000000000e+02,3.589999999999999858e+01,1.200000000000000000e+01,1.298113207547169878e+01,9.943707549936988843e-08,1.232697633374277029e-07,1.118470625603852640e-08,3.376569024764698294e-09,4.817429700976756878e-10,2.325657765192351734e-10
