simulation_index,step,time,point_index,z,C1,C2,C3,C4,C5,C6
7.780000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.121724013205198933e-07,1.315446548926724786e-07,7.354500257533667230e-09,3.855441702636871467e-10,3.798007250293304106e-11,2.169447668527874497e-11
7.780000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,1.000000000000000000e+00,2.177215189873417778e+00,1.121277452947200695e-07,1.314373979062401252e-07,7.552855503639636184e-09,7.065735528111908539e-10,9.075963293989653323e-11,4.957963145649131650e-11
7.780000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,2.000000000000000000e+00,4.354430379746835555e+00,1.121255355158363432e-07,1.314685250940814003e-07,7.851568905901147507e-09,1.127133075567378446e-09,1.566016712784488684e-10,8.227241988030516089e-11
7.780000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,3.000000000000000000e+00,6.531645569620253333e+00,1.121767026055796182e-07,1.316620715842488344e-07,8.250547858137033120e-09,1.642475537592796557e-09,2.338944971286832060e-10,1.186627026534736690e-10
7.780000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,4.000000000000000000e+00,8.708860759493671111e+00,1.122974436930589360e-07,1.320536356371039032e-07,8.750084828597788913e-09,2.247108684978763733e-09,3.211134567739681562e-10,1.578515433229323405e-10
7.780000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,5.000000000000000000e+00,1.088607594936708978e+01,1.125035768389781370e-07,1.326773168168186457e-07,9.349211403682620754e-09,2.934533334078843260e-09,4.167930723396252429e-10,1.991036736184763622e-10
7.780000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,6.000000000000000000e+00,1.306329113924050667e+01,1.128020388011902259e-07,1.335462646297037499e-07,1.004361552328216830e-08,3.697215335744205898e-09,5.195211618267411965e-10,2.418129050606289588e-10
7.780000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,7.000000000000000000e+00,1.524050632911392356e+01,1.131847549630226067e-07,1.346388435690362096e-07,1.082447716353761697e-08,4.526880735278151942e-09,6.279571149068733610e-10,2.854783776898657029e-10
7.780000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,8.000000000000000000e+00,1.741772151898734222e+01,1.136291452514997930e-07,1.359001103820553702e-07,1.167916371782208685e-08,5.415056457978884739e-09,7.408642907843887462e-10,3.296882626505855321e-10
7.780000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,9.000000000000000000e+00,1.959493670886076089e+01,1.141051956374324418e-07,1.372583153015029411e-07,1.259354803008926718e-08,6.353653945323841180e-09,8.571402446903835617e-10,3.741071890294633596e-10
7.780000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,1.000000000000000000e+01,2.177215189873417955e+01,1.145850423520798161e-07,1.386470376714476620e-07,1.355475210702459974e-08,7.335389879493497998e-09,9.758316270704293829e-10,4.184646511372103401e-10
7.780000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,1.100000000000000000e+01,2.394936708860759467e+01,1.150502295225364894e-07,1.400218371017086449e-07,1.455304335044290338e-08,8.353939910613616241e-09,1.096129582939731250e-09,4.625433215660626837e-10
7.780000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,1.200000000000000000e+01,2.612658227848101333e+01,1.154940183593593006e-07,1.413654514589218061e-07,1.558228317591881471e-08,9.403848815399403893e-09,1.217350039637341801e-09,5.061675895257791514e-10
