metric,board,reference,abs_diff,rel_diff
Ts_HX1_0_K,904.9560697093124,904.9560697093124,0.0,0.0
Tss_HX1_L_K,896.0213945038984,896.0213945038984,0.0,0.0
Tss_HX2_0_K,816.2673853477082,816.2673853477082,0.0,0.0
Tsss_HX2_L_K,846.4997089422715,846.4997089422715,0.0,0.0
Tsss_pp_0_K,807.9801062815578,807.9801062815578,0.0,0.0
