schedule_name,state_order,state_id,st_id,op_index,category,category_label,callee,node_text
core_step_kernel_n200_s1,3,3,3,14,spec_interface,SpecInterface,,"entry:13 %specinterface_ln0 = specinterface void @_ssdm_op_SpecInterface, i64 %Ts_core_inlet, void @empty_3, i32 0, i32 0, void @empty_23, i32 0, i32 0, void @empty_23, void @empty_23, void @empty_23, i32 0, i32 0, i32 0, i32 0, void @empty_23, void @empty_23, i32 4294967295, i32 0"
core_step_kernel_n200_s1,3,3,3,15,spec_bits,SpecBitsMap,,"entry:14 %specbitsmap_ln0 = specbitsmap void @_ssdm_op_SpecBitsMap, i64 %rod_position"
core_step_kernel_n200_s1,3,3,3,16,spec_interface,SpecInterface,,"entry:15 %specinterface_ln0 = specinterface void @_ssdm_op_SpecInterface, i64 %rod_position, void @empty, i32 0, i32 0, void @empty_23, i32 0, i32 0, void @empty_0, void @empty_6, void @empty_23, i32 0, i32 0, i32 0, i32 0, void @empty_23, void @empty_23, i32 4294967295, i32 0"
core_step_kernel_n200_s1,3,3,3,17,spec_interface,SpecInterface,,"entry:16 %specinterface_ln0 = specinterface void @_ssdm_op_SpecInterface, i64 %rod_position, void @empty_3, i32 0, i32 0, void @empty_23, i32 0, i32 0, void @empty_23, void @empty_23, void @empty_23, i32 0, i32 0, i32 0, i32 0, void @empty_23, void @empty_23, i32 4294967295, i32 0"
core_step_kernel_n200_s1,3,3,3,18,spec_bits,SpecBitsMap,,"entry:17 %specbitsmap_ln0 = specbitsmap void @_ssdm_op_SpecBitsMap, i64 %external_reactivity"
core_step_kernel_n200_s1,3,3,3,19,spec_interface,SpecInterface,,"entry:18 %specinterface_ln0 = specinterface void @_ssdm_op_SpecInterface, i64 %external_reactivity, void @empty, i32 0, i32 0, void @empty_23, i32 0, i32 0, void @empty_0, void @empty_7, void @empty_23, i32 0, i32 0, i32 0, i32 0, void @empty_23, void @empty_23, i32 4294967295, i32 0"
core_step_kernel_n200_s1,3,3,3,20,spec_interface,SpecInterface,,"entry:19 %specinterface_ln0 = specinterface void @_ssdm_op_SpecInterface, i64 %external_reactivity, void @empty_3, i32 0, i32 0, void @empty_23, i32 0, i32 0, void @empty_23, void @empty_23, void @empty_23, i32 0, i32 0, i32 0, i32 0, void @empty_23, void @empty_23, i32 4294967295, i32 0"
core_step_kernel_n200_s1,3,3,3,21,spec_interface,SpecInterface,,"entry:20 %specinterface_ln0 = specinterface void @_ssdm_op_SpecInterface, i64 %boundary_out, void @empty, i32 0, i32 0, void @empty_23, i32 0, i32 0, void @empty_0, void @empty_8, void @empty_23, i32 0, i32 0, i32 0, i32 0, void @empty_23, void @empty_2, i32 4294967295, i32 0"
core_step_kernel_n200_s1,3,3,3,22,spec_interface,SpecInterface,,"entry:21 %specinterface_ln0 = specinterface void @_ssdm_op_SpecInterface, i64 %boundary_out, void @empty_3, i32 0, i32 0, void @empty_23, i32 0, i32 0, void @empty_23, void @empty_23, void @empty_23, i32 0, i32 0, i32 0, i32 0, void @empty_23, void @empty_2, i32 4294967295, i32 0"
core_step_kernel_n200_s1,3,3,3,23,spec_interface,SpecInterface,,"entry:22 %specinterface_ln0 = specinterface void @_ssdm_op_SpecInterface, i32 0, void @empty, i32 0, i32 0, void @empty_23, i32 0, i32 0, void @empty_0, void @empty_23, void @empty_23, i32 0, i32 0, i32 0, i32 0, void @empty_23, void @empty_23, i32 4294967295, i32 0"
core_step_kernel_n200_s1,3,3,3,24,user_call,User call,core_step_kernel_impl,"entry:29 %call_ln996 = call void @core_step_kernel_impl<200, 1>, i64 %gmem0, i64 %state_read, i64 %gmem1, i64 %params_read, i64 %Ts_core_inlet_read, i64 %rod_position_read, i64 %external_reactivity_read, i512 %gmem2, i64 %boundary_out_read"
core_step_kernel_n200_s1,3,3,3,25,other,Other,,entry:30 %ret_ln997 = ret
