metric,board,reference,abs_diff,rel_diff
rho,-2.2204460492503136e-16,0.0,-2.2204460492503136e-16,0.0
power_W,99382.89071033763,99382.89071018968,1.4794932212680578e-07,1.4886800038674727e-12
phi_mid,1.433989757310741,1.4339897572973348,1.340616506695369e-11,9.3488569208615e-12
fuel_mid_K,928.8999680100807,928.8999680100808,-1.1368683772161603e-13,-1.223886765387231e-16
graphite_mid_K,934.3127474625123,934.3127474625121,2.2737367544323206e-13,2.4335927778011515e-16
Ts_core_outlet_K,938.3456603324822,938.3456603324822,0.0,0.0
