metric,reference,value,abs_error,rel_error
phi_mid,0.01229462636238624,0.013834154089211051,0.001539527726824811,0.12521956190021272
rho,0.0005,0.0005000000237487257,2.374872564228636e-11,4.749745128457272e-08
power,12341905.00829411,15064010.763612727,2722105.7553186174,0.22055798950723454
fuel_mid,921.1592962457544,917.945068359375,3.2142278863793763,0.00348932904382464
graphite_mid,1871.047083568955,2027.1871337890625,156.14005022010747,0.08345062590422682
core_inlet,901.0692548085711,895.9273071289062,5.141947679664895,0.00570649553541507
core_outlet,938.8499289766112,938.3530883789062,0.4968405977049315,0.000529201294445972
hx1_hot_outlet,901.1958314561181,896.1229248046875,5.072906651430571,0.005629083573582405
hx1_cold_outlet,938.6670555129011,938.9567260742188,0.2896705613176209,0.00030859777129318847
hx2_hot_outlet,867.4397920432683,866.7140502929688,0.7257417502995622,0.000836647980593634
hx2_cold_outlet,937.678643788975,937.7244873046875,0.0458435157124768,4.8890433856136646e-05
brayton_return,891.4430196534071,891.4323120117188,0.010707641688327385,1.2011582851914096e-05
