series,max_abs_error,rms_error
phi,0.01213397215597769,0.004882742130378138
fuel_temp,29.150925087613246,20.86469533090509
graphite_temp,970.5302059519086,397.8093620971742
C1,8.277170241431868e-06,3.782545400205807e-06
C2,1.2773349667317967e-07,4.374090782463178e-08
C3,6.194308805095572e-08,4.3288346930092814e-08
C4,4.70726989312879e-08,3.209856505816036e-08
C5,4.0230302162968845e-09,2.0775727094112205e-09
C6,1.661542206732681e-09,6.897160567538715e-10
