time_s,phi_mid,rho,power,fuel_mid,graphite_mid,core_inlet,core_outlet,hx1_hot_outlet,hx1_cold_outlet,hx2_hot_outlet,hx2_cold_outlet,brayton_return
349,0.03582940821674806,0.0005,35896603.11333725,920.1684017993689,1800.858721195336,890.1809814323997,947.6245089453042,890.3898866578302,945.5015044924792,854.7452892249584,929.2066733971693,880.7808059212703
350,0.03485007953959989,0.0005,34869570.04746708,919.8290426706271,1804.279870636454,890.2216966699841,947.2053667764067,890.4335812734961,945.5698552072585,854.8792343242553,929.688089970903,881.3114381594914
351,0.0338813080617078,0.0005,33859787.28172138,919.4745883431852,1807.531803816551,890.2628829238828,946.6934616618743,890.4780635856783,945.6270327241721,855.0194003936205,930.1508912494795,881.8296427384061
352,0.0329835738620582,0.0005,32926758.07440159,919.1235444046372,1810.627133051323,890.3046014640884,946.1090030270369,890.5233985865877,945.6696472030761,855.1654536098416,930.5951502475597,882.3342068327128
353,0.03220138890339044,0.0005,32113622.19128751,918.7961291708518,1813.585192685444,890.3469148473141,945.4816183604761,890.5696507518137,945.6923514401705,855.3170096659187,931.0212420342291,882.8240641439659
354,0.03153707305067063,0.0005,31421295.24469954,918.5073062325251,1816.425403695916,890.3898866578302,944.8427797210624,890.6168831809468,945.6890337877584,855.4736464162904,931.4297661393053,883.2983055318628
355,0.03096112683047973,0.0005,30819250.09295821,918.2618241821737,1819.162351529889,890.4335812734961,944.2202655542209,890.6651565033359,945.6541481182257,855.6349156965304,931.8214171564224,883.7562096455752
356,0.03043897623919961,0.0005,30272386.5444185,918.0549247484533,1821.805086052135,890.4780635856783,943.6354801811651,890.7145276009388,945.5839179406609,855.8003534063839,932.1968375423284,884.1972834087439
357,0.02994404824445599,0.0005,29753997.18119628,917.8765958161705,1824.35845165659,890.5233985865877,943.1021041521676,890.7650482396895,945.4770845729903,855.9694873746373,932.5564888540321,884.6213018424218
358,0.02945760798566861,0.0005,29245452.9841654,917.7159078523334,1826.824362064993,890.5696507518137,942.6252496189177,890.8167637265516,945.3350209990418,856.1418430516173,932.9005662237886,885.0283318426253
359,0.02896431305297514,0.0005,28731656.18832658,917.5632757640178,1829.202358269728,890.6168831809468,942.2014941445723,890.8697117117861,945.1613284129191,856.3169475450572,933.2289694898261,885.4187170475718
360,0.02845111498698214,0.0005,28199873.53317726,917.410937733837,1831.489982128583,890.6651565033359,941.8204116422294,890.9239212333347,944.9611721663525,856.494332780732,933.5413352413251,885.7930067463532
361,0.02791241979229898,0.0005,27644795.87362276,917.2533748765886,1833.683940140167,890.7145276009388,941.4676918301617,890.9794120630515,944.7405346815809,856.6735385566005,933.8371227610248,886.1518373255104
362,0.02736141841642389,0.0005,27079671.69252758,917.0892206529779,1835.783002102919,890.7650482396895,941.12923000613,891.0361943755037,944.5054612112406,856.8541160412826,934.1157330681887,886.4957974037802
363,0.02683434138770925,0.0005,26540363.43027304,916.9236568226562,1837.791523814744,890.8167637265516,940.7950854404796,891.0942687260439,944.2613612906894,857.0356319907712,934.3766319118291,886.8253098595969
364,0.02637417135258263,0.0005,26069100.41829901,916.7680421517789,1839.720425953004,890.8697117117861,940.4620747071835,891.1536262978443,944.0124634287993,857.2176736831348,934.6194516243385,887.1405534730909
365,0.02601194185132871,0.0005,25696013.93181141,916.6363805040347,1841.585291677074,890.9239212333347,940.1343969146166,891.2142493588926,943.7615326402599,857.3998542237697,934.8440586031402,887.4414364760684
366,0.02576485103363462,0.0005,25437417.56806516,916.5415492527928,1843.404200908217,890.9794120630515,939.8226891511679,891.2761118617386,943.5099200144556,857.5818173835139,935.050583064835,887.727625911613
367,0.0256359386665007,0.0005,25295613.31610533,916.4923642842248,1845.195540053535,891.0361943755037,939.5419835363105,891.3391801225627,943.2579316505529,857.7632407382981,935.2394125409566,887.998626374685
368,0.02560315985149403,0.0005,25248218.35436156,916.4904951226964,1846.974156148824,891.0942687260439,939.3083967800994,891.4034135306248,943.0054095697543,857.9438360179703,935.4111534841974,888.2538890792598
369,0.02561101450806245,0.0005,25240090.27350143,916.5274119777905,1848.746265643688,891.1536262978443,939.1344302613824,891.4687652598168,942.7523614421137,858.1233462705519,935.566569087854,888.4929245446956
370,0.02558873705190455,0.0005,25201486.04690174,916.5847000123921,1850.507205123003,891.2142493588926,939.0241501292129,891.5351829745451,942.4994958560342,858.3015402718999,935.7065056977419,888.7153959140076
371,0.0254883107467504,0.0005,25085577.36810945,916.6402006007156,1852.245026885058,891.2761118617386,938.9707340266312,891.6026095372985,942.2485692906325,858.4782051977219,935.8318229302556,888.9211807805439
372,0.02529957758345856,0.0005,24883087.81193562,916.676013753923,1853.946361603631,891.3391801225627,938.9577155793288,891.6709837330327,942.0024647878951,858.6531388670668,935.9433418993434,889.1103984487261
373,0.02503129135417738,0.0005,24603314.97325173,916.6823297410658,1855.599312605865,891.4034135306248,938.9627895995242,891.740241026183,941.7649202615527,858.8261429213993,936.0418211285713,889.2834039748636
374,0.02469273709203084,0.0005,24255897.38153284,916.6564066202321,1857.193506228596,891.4687652598168,938.962247477607,891.8103143593554,941.5398968077304,858.9970181140536,936.127962260973,889.4407529907853
375,0.02429440068606389,0.0005,23851470.56732744,916.6000588718482,1858.720243592667,891.5351829745451,938.935086461959,891.8811349866166,941.330744404873,859.1655624146077,936.2024407957214,889.5831447340281
376,0.02385691450155237,0.0005,23410460.70219919,916.5184734947934,1860.174019589472,891.6026095372985,938.8665624561995,891.9526333101165,941.13944554094,859.3315719789847,936.2659525904365,889.7113546264497
377,0.02341441355808492,0.0005,22966347.28628658,916.4205396446529,1861.554546040016,891.6709837330327,938.7507048089273,892.0247396659566,940.9661676961711,859.4948444506284,936.3192637102879,889.826170248409
378,0.02300629277144176,0.0005,22557549.45836822,916.3186863501448,1862.867509065722,891.740241026183,938.5909624008109,892.0973849959905,940.8092011371779,859.6551837353054,936.3632483482675,889.928343904332
379,0.02266196461418558,0.0005,22212513.99975149,916.2265516635372,1864.123007073118,891.8103143593554,938.398631934738,892.1705013515216,940.6652462708528,859.8124053230092,936.3988993506383,890.0185705533496
380,0.02239076678855343,0.0005,21939928.48944969,916.1552261670521,1865.332471104877,891.8811349866166,938.1897726220238,892.2440221984386,940.5299773100713,859.96634130162,936.4273022533856,890.0974930406611
381,0.02218352914569691,0.0005,21730384.69838976,916.1103326328259,1866.505849691348,891.9526333101165,937.9817901321053,892.3178825236221,940.39878313484,860.1168443484544,936.449575757017,890.1657302584659
382,0.02202084301197539,0.0005,21564570.92909611,916.0913767426132,1867.650071931252,892.0247396659566,937.7904160388839,892.3920187729377,940.2675391239206,860.2637901960446,936.4667924243901,890.2239197513688
