metric,reference,value,abs_error,rel_error
phi_mid,0.008926148620784505,0.0089254902348158,6.58385968705516e-07,7.375924339557451e-05
rho,0.0,0.0,0.0,0.0
power,9799248.010429595,9798619.428089011,628.5823405832052,6.414597731521732e-05
fuel_mid,906.8383714577496,906.6422119140625,0.19615954368714483,0.000216311472762028
graphite_mid,1579.7496030409309,1579.56884765625,0.1807553846808787,0.0001144202754239878
core_inlet,893.2172744191453,893.0221557617188,0.19511865742651935,0.0002184447871917883
core_outlet,919.4574050475359,919.2598876953125,0.19751735222337174,0.00021481946976451848
hx1_hot_outlet,893.42572966925,893.2300415039062,0.19568816534376765,0.0002190312623033727
hx1_cold_outlet,918.9441420759052,918.74462890625,0.19951316965523347,0.0002171113134303582
hx2_hot_outlet,856.8004397573187,856.5164184570312,0.2840213002874634,0.00033149060984131843
hx2_cold_outlet,917.6892878274325,917.4852905273438,0.2039973000887585,0.00022229452037269426
brayton_return,872.9206982002838,872.7322387695312,0.1884594307525731,0.00021589524814925716
