simulation_index,step,time,point_index,z,C1,C2,C3,C4,C5,C6
7.840000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.126221734207266447e-07,1.322706414211466095e-07,7.277989945644251350e-09,1.687871623156474909e-10,2.772292758811624846e-13,1.676715256969324608e-13
7.840000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,1.000000000000000000e+00,1.081761006289308158e+00,1.125462121373679211e-07,1.320325340369302184e-07,7.225818706729765866e-09,1.682178094113245135e-10,6.770503015509633450e-13,3.991783498268199424e-13
7.840000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,2.000000000000000000e+00,2.163522012578616316e+00,1.124705515244644318e-07,1.317957158117295102e-07,7.174748988077126965e-09,1.684391407226605098e-10,1.192204955789812468e-12,6.867947168534654366e-13
7.840000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,3.000000000000000000e+00,3.245283018867924696e+00,1.123952051283105071e-07,1.315602153590444356e-07,7.124774777635874578e-09,1.694361573291330040e-10,1.815793992357200074e-12,1.023682316986326394e-12
7.840000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,4.000000000000000000e+00,4.327044025157232632e+00,1.123202292567179246e-07,1.313261590659343832e-07,7.075900459786347850e-09,1.711941253069271520e-10,2.541259927658309259e-12,1.403783626398037395e-12
7.840000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,5.000000000000000000e+00,5.408805031446540568e+00,1.122458043498376586e-07,1.310939573114656601e-07,7.028160933727942199e-09,1.736991752033748911e-10,3.362366665842293979e-12,1.821728252257124216e-12
7.840000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,6.000000000000000000e+00,6.490566037735849392e+00,1.121724028789336334e-07,1.308646886172083785e-07,6.981663075168513864e-09,1.769395468197759710e-10,4.273181618949192300e-12,2.272750880845585308e-12
7.840000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,7.000000000000000000e+00,7.572327044025157328e+00,1.121010658270689663e-07,1.306407320091056494e-07,6.936653875984376799e-09,1.809076400894884118e-10,5.268060750262709917e-12,2.752619497074715903e-12
7.840000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,8.000000000000000000e+00,8.654088050314465264e+00,1.120337572636159640e-07,1.304265774985936704e-07,6.893607525690618653e-09,1.856026408710963903e-10,6.341636981676468657e-12,3.257572688576416188e-12
7.840000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,9.000000000000000000e+00,9.735849056603774088e+00,1.119736822978828977e-07,1.302295518008607127e-07,6.853302851554099470e-09,1.910328658558318786e-10,7.488812137121628985e-12,3.784264958001040490e-12
7.840000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,1.000000000000000000e+01,1.081761006289308114e+01,1.119253782826632584e-07,1.300600240135017273e-07,6.816844009141347317e-09,1.972164163589426102e-10,8.704751905552913059e-12,4.329719004908832745e-12
7.840000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,1.100000000000000000e+01,1.189937106918238996e+01,1.118943834023820178e-07,1.299306433327480815e-07,6.785576198137169491e-09,2.041786984835516633e-10,9.984882312420549749e-12,4.891283917543820595e-12
7.840000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,1.200000000000000000e+01,1.298113207547169878e+01,1.118863922509772447e-07,1.298544029014611620e-07,6.760874658822256643e-09,2.119461612561103456e-10,1.132488526968453529e-11,5.466598195850455649e-12
7.840000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,1.300000000000000000e+01,1.406289308176100583e+01,1.119060067618847930e-07,1.298417792418716060e-07,6.743834655764004715e-09,2.205370843321699802e-10,1.272069042410805155e-11,6.053556586698176387e-12
7.840000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,1.400000000000000000e+01,1.514465408805031466e+01,1.119553992690914788e-07,1.298976736896564702e-07,6.734941678195462839e-09,2.299517852052034326e-10,1.416846108126089190e-11,6.650279898706111964e-12
7.840000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,1.500000000000000000e+01,1.622641509433962170e+01,1.120333136904523477e-07,1.300191315057255672e-07,6.733827658734337995e-09,2.401654035818142587e-10,1.566457341447319302e-11,7.255087265407240941e-12
7.840000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,1.600000000000000000e+01,1.730817610062893053e+01,1.121347708435423682e-07,1.301946758899023380e-07,6.739203434156004203e-09,2.511259457033348936e-10,1.720559003528890949e-11,7.866470668856217872e-12
7.840000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,1.700000000000000000e+01,1.838993710691823935e+01,1.122516281731978614e-07,1.304055991778426516e-07,6.749003557603445074e-09,2.627586467540139924e-10,1.878823064940015368e-11,8.483071819924044505e-12
7.840000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,1.800000000000000000e+01,1.947169811320754818e+01,1.123738643230894488e-07,1.306289123045184524e-07,6.760709910180957470e-09,2.749756271893149196e-10,2.040934337844290694e-11,9.103661634491429952e-12
7.840000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,1.900000000000000000e+01,2.055345911949685345e+01,1.124912344633817085e-07,1.308411398390344166e-07,6.771765087786098985e-09,2.876881696474522439e-10,2.206588015175133782e-11,9.727122519872913733e-12
7.840000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,2.000000000000000000e+01,2.163522012578616227e+01,1.125948584755625829e-07,1.310219569099383978e-07,6.779966345824751453e-09,3.008183550619341291e-10,2.375487851933848166e-11,1.035243352834337049e-11
7.840000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,2.100000000000000000e+01,2.271698113207547109e+01,1.126783757226425279e-07,1.311568295104655732e-07,6.783749390550945550e-09,3.143073662870228995e-10,2.547345074417654862e-11,1.097865821982729286e-11
7.840000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,2.200000000000000000e+01,2.379874213836477992e+01,1.127384759076318310e-07,1.312382231466949249e-07,6.782315528883163843e-09,3.281191008838595686e-10,2.721877959931682054e-11,1.160493488357565636e-11
