simulation_index,step,time,point_index,z,C1,C2,C3,C4,C5,C6
7.920000000000000000e+02,1.199000000000000000e+03,1.199000000000000057e+02,0.000000000000000000e+00,0.000000000000000000e+00,8.855306373982543218e-08,1.033649198968030780e-07,6.033127885353680735e-09,1.958843064342709759e-10,8.554970154371443079e-12,5.174235083673794454e-12
7.920000000000000000e+02,1.199000000000000000e+03,1.199000000000000057e+02,1.000000000000000000e+00,1.081761006289308158e+00,8.851564106386164343e-08,1.032556341707241268e-07,6.054091269545440885e-09,2.649138147621826316e-10,2.089389011984195455e-11,1.231880138667283955e-11
7.920000000000000000e+02,1.199000000000000000e+03,1.199000000000000057e+02,2.000000000000000000e+00,2.163522012578616316e+00,8.848610779036184403e-08,1.031728786775286456e-07,6.096866941269203469e-09,3.568546196064261385e-10,3.679327287348291162e-11,2.119565265428726861e-11
7.920000000000000000e+02,1.199000000000000000e+03,1.199000000000000057e+02,3.000000000000000000e+00,3.245283018867924696e+00,8.846489423008716060e-08,1.031167560154074610e-07,6.161263200235595997e-09,4.712686562963656993e-10,5.604050196884377058e-11,3.159388699969294057e-11
7.920000000000000000e+02,1.199000000000000000e+03,1.199000000000000057e+02,4.000000000000000000e+00,4.327044025157232632e+00,8.845265718779889530e-08,1.030874580708770260e-07,6.247085159344589367e-09,6.077149651476423861e-10,7.843332485257921946e-11,4.332657979782878381e-11
7.920000000000000000e+02,1.199000000000000000e+03,1.199000000000000057e+02,5.000000000000000000e+00,5.408805031446540568e+00,8.845007098470588779e-08,1.030851743221096715e-07,6.354130374284340677e-09,7.657498086068828323e-10,1.037792827344796720e-10,5.622794203599147862e-11
7.920000000000000000e+02,1.199000000000000000e+03,1.199000000000000057e+02,6.000000000000000000e+00,6.490566037735849392e+00,8.845749671140275796e-08,1.031099466678853772e-07,6.482181776226522104e-09,9.449266550415013594e-10,1.318951632731974235e-10,7.015081274862748484e-11
7.920000000000000000e+02,1.199000000000000000e+03,1.199000000000000057e+02,7.000000000000000000e+00,7.572327044025157328e+00,8.847473176904894661e-08,1.031615595349717250e-07,6.631002358686067150e-09,1.144796171884371736e-09,1.626064829891684707e-10,8.496445116566994370e-11
7.920000000000000000e+02,1.199000000000000000e+03,1.199000000000000057e+02,8.000000000000000000e+00,8.654088050314465264e+00,8.850101408598717565e-08,1.032395417749490200e-07,6.800335404449052025e-09,1.364906311122961268e-09,1.957469962700997963e-10,1.005525913533249455e-10
7.920000000000000000e+02,1.199000000000000000e+03,1.199000000000000057e+02,9.000000000000000000e+00,9.735849056603774088e+00,8.853528916674020367e-08,1.033432839193895276e-07,6.989910429886119523e-09,1.604802517143236357e-09,2.311582319688041694e-10,1.168117282469078269e-10
7.920000000000000000e+02,1.199000000000000000e+03,1.199000000000000057e+02,1.000000000000000000e+01,1.081761006289308114e+01,8.857658560794223081e-08,1.034722030991681395e-07,7.199451498131576481e-09,1.864028015014701245e-09,2.686890600378570373e-10,1.336496086992798057e-10
7.920000000000000000e+02,1.199000000000000000e+03,1.199000000000000057e+02,1.100000000000000000e+01,1.189937106918238996e+01,8.862430386844768782e-08,1.036258700683915536e-07,7.428683669112520036e-09,2.142124100948917306e-09,3.081952886985917674e-10,1.509839039365548948e-10
7.920000000000000000e+02,1.199000000000000000e+03,1.199000000000000057e+02,1.200000000000000000e+01,1.298113207547169878e+01,8.867830543442350809e-08,1.038040489041419299e-07,7.677335143289914165e-09,2.438630374393377585e-09,3.495392898822594277e-10,1.687410417720731716e-10
7.920000000000000000e+02,1.199000000000000000e+03,1.199000000000000057e+02,1.300000000000000000e+01,1.406289308176100583e+01,8.873881200317026335e-08,1.040066535946563288e-07,7.945135307266218659e-09,2.753084896442877776e-09,3.925896490200246298e-10,1.868551788883339298e-10
7.920000000000000000e+02,1.199000000000000000e+03,1.199000000000000057e+02,1.400000000000000000e+01,1.514465408805031466e+01,8.880620567488899590e-08,1.042336612766160062e-07,8.231810640592209090e-09,3.085024296650807623e-09,4.372208352059711398e-10,2.052672957003371718e-10
7.920000000000000000e+02,1.199000000000000000e+03,1.199000000000000057e+02,1.500000000000000000e+01,1.622641509433962170e+01,8.888083377369855850e-08,1.044850273177656452e-07,8.537080704797983252e-09,3.433983863308404808e-09,4.833128888062002322e-10,2.239243986267623561e-10
7.920000000000000000e+02,1.199000000000000000e+03,1.199000000000000057e+02,1.600000000000000000e+01,1.730817610062893053e+01,8.896288592094994610e-08,1.047606316642238405e-07,8.860655654699445647e-09,3.799497644865846726e-09,5.307511249264354152e-10,2.427788167663387924e-10
7.920000000000000000e+02,1.199000000000000000e+03,1.199000000000000057e+02,1.700000000000000000e+01,1.838993710691823935e+01,8.905236157848387263e-08,1.050602643427392896e-07,9.202235655190161419e-09,4.181098574830848934e-09,5.794258521859704087e-10,2.617875818286858237e-10
7.920000000000000000e+02,1.199000000000000000e+03,1.199000000000000057e+02,1.800000000000000000e+01,1.947169811320754818e+01,8.914910877922322945e-08,1.053836417620594562e-07,9.561511795939328760e-09,4.578318619164907426e-09,6.292321067559875769e-10,2.809118816559884594e-10
7.920000000000000000e+02,1.199000000000000000e+03,1.199000000000000057e+02,1.900000000000000000e+01,2.055345911949685345e+01,8.925289795763630803e-08,1.057304382497961391e-07,9.938167750575787940e-09,4.990688937906980856e-09,6.800694016659607010e-10,3.001165788444200602e-10
7.920000000000000000e+02,1.199000000000000000e+03,1.199000000000000057e+02,2.000000000000000000e+01,2.163522012578616227e+01,8.936349590156798551e-08,1.061003177969938164e-07,1.033188145669334921e-08,5.417740051137752980e-09,7.318414911481471083e-10,3.193697869194915105e-10
7.920000000000000000e+02,1.199000000000000000e+03,1.199000000000000057e+02,2.100000000000000000e+01,2.271698113207547109e+01,8.948071651327304232e-08,1.064929560221865708e-07,1.074232633709133383e-08,5.859002001412450134e-09,7.844561494683923317e-10,3.386424973192945794e-10
7.920000000000000000e+02,1.199000000000000000e+03,1.199000000000000057e+02,2.200000000000000000e+01,2.379874213836477992e+01,8.960443989942257413e-08,1.069080487138807135e-07,1.116917188611220744e-08,6.314004508350926882e-09,8.378249634206980728e-10,3.579082511521560608e-10
7.920000000000000000e+02,1.199000000000000000e+03,1.199000000000000057e+02,2.300000000000000000e+01,2.488050314465408874e+01,8.973460384909015703e-08,1.073453086449782189e-07,1.161208369807105640e-08,6.782277114619567584e-09,8.918631375146907553e-10,3.771428503532758437e-10
