simulation_index,step,time,point_index,z,C1,C2,C3,C4,C5,C6
9.960000000000000000e+02,3.390000000000000000e+02,3.389999999999999858e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.867531337226941058e-08,5.750432628878713640e-08,4.760007938582090329e-10,6.511851665868143862e-12,8.402830836392439168e-14,5.082210007843643865e-14
9.960000000000000000e+02,3.390000000000000000e+02,3.389999999999999858e+01,1.000000000000000000e+00,1.081761006289308158e+00,7.862195598305500007e-08,5.740047346941397929e-08,4.730968468203156355e-10,7.110558642736792375e-12,2.052131341429577466e-13,1.209911684212541611e-13
9.960000000000000000e+02,3.390000000000000000e+02,3.389999999999999858e+01,2.000000000000000000e+00,2.163522012578616316e+00,7.856870967884491746e-08,5.729706736575788425e-08,4.704301982104966529e-10,7.935532223795231517e-12,3.613450217732104114e-13,2.081607077382599072e-13
9.960000000000000000e+02,3.390000000000000000e+02,3.389999999999999858e+01,3.000000000000000000e+00,3.245283018867924696e+00,7.851557524474080637e-08,5.719410880294280166e-08,4.679988083113656940e-10,8.982386245893719045e-12,5.503259055490965034e-13,3.102542434071914356e-13
9.960000000000000000e+02,3.390000000000000000e+02,3.389999999999999858e+01,4.000000000000000000e+00,4.327044025157232632e+00,7.846255649168648921e-08,5.709160502798180863e-08,4.658010817301787775e-10,1.024673119947865022e-11,7.701628095563759374e-13,4.254330827684825694e-13
9.960000000000000000e+02,3.390000000000000000e+02,3.389999999999999858e+01,5.000000000000000000e+00,5.408805031446540568e+00,7.840966605355713034e-08,5.698958207662827342e-08,4.638368311584305333e-10,1.172419113398245544e-11,1.018961451516122059e-12,5.520677297521512950e-13
9.960000000000000000e+02,3.390000000000000000e+02,3.389999999999999858e+01,6.000000000000000000e+00,6.490566037735849392e+00,7.835693734982468785e-08,5.688811028866687785e-08,4.621092665030340670e-10,1.341044239980101674e-11,1.294920531252007370e-12,6.887128142225776840e-13
9.960000000000000000e+02,3.390000000000000000e+02,3.389999999999999858e+01,7.000000000000000000e+00,7.572327044025157328e+00,7.830444428569741717e-08,5.678734631310088035e-08,4.606282667965583449e-10,1.530128072983628919e-11,1.596326832550111346e-12,8.340851506697824000e-13
9.960000000000000000e+02,3.390000000000000000e+02,3.389999999999999858e+01,8.000000000000000000e+00,8.654088050314465264e+00,7.825232651833221301e-08,5.668758695044980524e-08,4.594145657758154738e-10,1.739271131984903128e-11,1.921551209248289519e-12,9.870445478241763256e-13
9.960000000000000000e+02,3.390000000000000000e+02,3.389999999999999858e+01,9.000000000000000000e+00,9.735849056603774088e+00,7.820081211715071112e-08,5.658931737554657236e-08,4.585034824627601451e-10,1.968103744584256082e-11,2.269045481594372017e-12,1.146577038168183063e-12
