simulation_index,step,time,point_index,z,C1,C2,C3,C4,C5,C6
1.000000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.158322531459178819e-07,1.398697806745927528e-07,8.268305293640560704e-09,2.695161111350701681e-10,1.188146844895638380e-11,7.186174915590241626e-12
1.000000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,1.000000000000000000e+00,1.081761006289308158e+00,1.157850464061724771e-07,1.397246612151934086e-07,8.298241848275001943e-09,3.654282228692189843e-10,2.901779764863844179e-11,1.710855956636755859e-11
1.000000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,2.000000000000000000e+00,2.163522012578616316e+00,1.157484162984468962e-07,1.396162074886536058e-07,8.358455125599516726e-09,4.931565732426004274e-10,5.109854060226451762e-11,2.943652845789398643e-11
1.000000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,3.000000000000000000e+00,3.245283018867924696e+00,1.157223369550620835e-07,1.395442883523186241e-07,8.448665212402240764e-09,6.520922922097230869e-10,7.782840520104673368e-11,4.387719413014955749e-11
1.000000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,4.000000000000000000e+00,4.327044025157232632e+00,1.157067777845602209e-07,1.395087565415464355e-07,8.568580579627960109e-09,8.416219877129817899e-10,1.089264427540352218e-10,6.017094406128710362e-11
1.000000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,5.000000000000000000e+00,5.408805031446540568e+00,1.157017035428933208e-07,1.395094489482507566e-07,8.717898384627261659e-09,1.061128060850321070e-09,1.441252638283416735e-10,7.808750257855787396e-11
1.000000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,6.000000000000000000e+00,6.490566037735849392e+00,1.157070743869772810e-07,1.395461868537121833e-07,8.896304740450455678e-09,1.309988982403842847e-09,1.831702933768160603e-10,9.742245829342651068e-11
1.000000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,7.000000000000000000e+00,7.572327044025157328e+00,1.157228459153658250e-07,1.396187761360671964e-07,9.103474971301281052e-09,1.587579552233430329e-09,2.258190665837906198e-10,1.179942038448777031e-10
1.000000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,8.000000000000000000e+00,8.654088050314465264e+00,1.157489692007090293e-07,1.397270074631534763e-07,9.339073860637034455e-09,1.893271148664973476e-09,2.718405642948608895e-10,1.396412395723863074e-10
1.000000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,9.000000000000000000e+00,9.735849056603774088e+00,1.157853908237788880e-07,1.398706564839837124e-07,9.602755893543906576e-09,2.226431969118369831e-09,3.210145859391409710e-10,1.622197978837919124e-10
1.000000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,1.000000000000000000e+01,1.081761006289308114e+01,1.158320529248415704e-07,1.400494840393225990e-07,9.894165494787427671e-09,2.586427262527171525e-09,3.731311578514790405e-10,1.856017501593859681e-10
1.000000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,1.100000000000000000e+01,1.189937106918238996e+01,1.158888932887963816e-07,1.402632364130055880e-07,1.021293726444823725e-08,2.972619554627477765e-09,4.279899751160032713e-10,2.096727626346962943e-10
1.000000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,1.200000000000000000e+01,1.298113207547169878e+01,1.159558454719560939e-07,1.405116456349899391e-07,1.055869621290332890e-08,3.384368867626292012e-09,4.853998752412033441e-10,2.343306717498846036e-10
1.000000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,1.300000000000000000e+01,1.406289308176100583e+01,1.160328389620363695e-07,1.407944298263860471e-07,1.093105799605030757e-08,3.821032935937579376e-09,5.451783421134135034e-10,2.594840529925083275e-10
1.000000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,1.400000000000000000e+01,1.514465408805031466e+01,1.161197993457291457e-07,1.411112935546797931e-07,1.132962915051991241e-08,4.281967419582944567e-09,6.071510387585249415e-10,2.850509603504262766e-10
1.000000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,1.500000000000000000e+01,1.622641509433962170e+01,1.162166484491068424e-07,1.414619281554589512e-07,1.175400732771765062e-08,4.766526116462574274e-09,6.711513674658109142e-10,3.109578161812857924e-10
1.000000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,1.600000000000000000e+01,1.730817610062893053e+01,1.163233044208206123e-07,1.418460119826079012e-07,1.220378152527931065e-08,5.274061174055410867e-09,7.370200558014149099e-10,3.371384336449292575e-10
1.000000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,1.700000000000000000e+01,1.838993710691823935e+01,1.164396817455638496e-07,1.422632105708871061e-07,1.267853231499435297e-08,5.803923300373832459e-09,8.046047669936893465e-10,3.635331558937557557e-10
1.000000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,1.800000000000000000e+01,1.947169811320754818e+01,1.165656911981188793e-07,1.427131767236671434e-07,1.317783206718051900e-08,6.355461973415476911e-09,8.737597331522114272e-10,3.900880980339582145e-10
1.000000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,1.900000000000000000e+01,2.055345911949685345e+01,1.167012397667332054e-07,1.431955505619883770e-07,1.370124517243952500e-08,6.928025648120006207e-09,9.443454098226985672e-10,4.167544795074621640e-10
1.000000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,2.000000000000000000e+01,2.163522012578616227e+01,1.168462305815876315e-07,1.437099595801617884e-07,1.424832826230118240e-08,7.520961960010018909e-09,1.016228150490920263e-09,4.434880360299326310e-10
1.000000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,2.100000000000000000e+01,2.271698113207547109e+01,1.170005628784932623e-07,1.442560187461895760e-07,1.481863043031057260e-08,8.133617925171369946e-09,1.089279899809984159e-09,4.702485015629160383e-10
1.000000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,2.200000000000000000e+01,2.379874213836477992e+01,1.171641320138349781e-07,1.448333306675597053e-07,1.541169345471751528e-08,8.765340136804284950e-09,1.163377904498515387e-09,4.969991519937273516e-10
