simulation_index,step,time,point_index,z,C1,C2,C3,C4,C5,C6
2.010000000000000000e+02,6.010000000000000000e+02,6.010000000000000142e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.158741328172999053e-07,1.398994433371076978e-07,8.248559190317806317e-09,2.442895030188111934e-10,7.396142266242162385e-12,4.473274318578349775e-12
2.010000000000000000e+02,6.010000000000000000e+02,6.010000000000000142e+01,1.000000000000000000e+00,1.081761006289308158e+00,1.158149454212683762e-07,1.397130085260305727e-07,8.244070025043346389e-09,3.026921396752335740e-10,1.806558802987690224e-11,1.065043190047798980e-11
2.010000000000000000e+02,6.010000000000000000e+02,6.010000000000000142e+01,2.000000000000000000e+00,2.163522012578616316e+00,1.157623980200945620e-07,1.395496954579920456e-07,8.258698166876425328e-09,3.810201582356881523e-10,3.182418201768780030e-11,1.832833616858418648e-11
2.010000000000000000e+02,6.010000000000000000e+02,6.010000000000000142e+01,3.000000000000000000e+00,3.245283018867924696e+00,1.157165585571863604e-07,1.394097098396606162e-07,8.292496558631652224e-09,4.791215984793930415e-10,4.851453867102051751e-11,2.733247163513162347e-11
2.010000000000000000e+02,6.010000000000000000e+02,6.010000000000000142e+01,4.000000000000000000e+00,4.327044025157232632e+00,1.156775903291916062e-07,1.392935831226683165e-07,8.345776762290997208e-09,5.971053324044138620e-10,6.801838719967528085e-11,3.751777918214088709e-11
2.010000000000000000e+02,6.010000000000000000e+02,6.010000000000000142e+01,5.000000000000000000e+00,5.408805031446540568e+00,1.156457857526568304e-07,1.392022871684524732e-07,8.419198457387138491e-09,7.354279841063029320e-10,9.026515628949820637e-11,4.876845634572049618e-11
2.010000000000000000e+02,6.010000000000000000e+02,6.010000000000000142e+01,6.000000000000000000e+00,6.490566037735849392e+00,1.156215688012287763e-07,1.391372415807573252e-07,8.513773005403732488e-09,8.948940749706227370e-10,1.152299612414538746e-10,6.099470149550400584e-11
2.010000000000000000e+02,6.010000000000000000e+02,6.010000000000000142e+01,7.000000000000000000e+00,7.572327044025157328e+00,1.156054570918847828e-07,1.391001833119188210e-07,8.630757594439675527e-09,1.076546778005908766e-09,1.429187474077495482e-10,7.412589567543555275e-11
2.010000000000000000e+02,6.010000000000000000e+02,6.010000000000000142e+01,8.000000000000000000e+00,8.654088050314465264e+00,1.155979949282290411e-07,1.390929375873705470e-07,8.771471779631709180e-09,1.281482178616483967e-09,1.733450027732001739e-10,8.810176552567281648e-11
2.010000000000000000e+02,6.010000000000000000e+02,6.010000000000000142e+01,9.000000000000000000e+00,9.735849056603774088e+00,1.155996819285636110e-07,1.391171744004880666e-07,8.937103835558252103e-09,1.510655201032096363e-09,2.065064441134798308e-10,1.028641817223452125e-10
2.010000000000000000e+02,6.010000000000000000e+02,6.010000000000000142e+01,1.000000000000000000e+01,1.081761006289308114e+01,1.156109206178698805e-07,1.391742302268769940e-07,9.128570145863901402e-09,1.764740485854918292e-09,2.423691594381103677e-10,1.183517980474689496e-10
