simulation_index,step,time,point_index,z,C1,C2,C3,C4,C5,C6
1.000000000000000000e+02,2.399000000000000000e+03,2.399000000000000057e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.146263955622052019e-07,1.383581766835782238e-07,8.177885888800936218e-09,2.670118165326390759e-10,1.182934382220606778e-11,7.154648498938329795e-12
1.000000000000000000e+02,2.399000000000000000e+03,2.399000000000000057e+02,1.000000000000000000e+00,1.081761006289308158e+00,1.145798791243128934e-07,1.382153294648052000e-07,8.208090626425024704e-09,3.625206834910259072e-10,2.888955223976396456e-11,1.703293216245471251e-11
1.000000000000000000e+02,2.399000000000000000e+03,2.399000000000000057e+02,2.000000000000000000e+00,2.163522012578616316e+00,1.145439007948182541e-07,1.381089771802612691e-07,8.268422309839375198e-09,4.896901154100644355e-10,5.086973725557932326e-11,2.930462086640332928e-11
1.000000000000000000e+02,2.399000000000000000e+03,2.399000000000000057e+02,3.000000000000000000e+00,3.245283018867924696e+00,1.145184322914811620e-07,1.380389789805062640e-07,8.358593385699044819e-09,6.479043013816567673e-10,7.747430841624875869e-11,4.367724656640326290e-11
1.000000000000000000e+02,2.399000000000000000e+03,2.399000000000000057e+02,4.000000000000000000e+00,4.327044025157232632e+00,1.145034353909642358e-07,1.380051742633731885e-07,8.478304995522733887e-09,8.365434948789018395e-10,1.084221193076936885e-10,5.989161672526840854e-11
1.000000000000000000e+02,2.399000000000000000e+03,2.399000000000000057e+02,5.000000000000000000e+00,5.408805031446540568e+00,1.144988658675154464e-07,1.380073855993497600e-07,8.627247018391101369e-09,1.054983896163500557e-09,1.434456020287140116e-10,7.771783029856133462e-11
1.000000000000000000e+02,2.399000000000000000e+03,2.399000000000000057e+02,6.000000000000000000e+00,6.490566037735849392e+00,1.145046772600249914e-07,1.380454217696745216e-07,8.805098373304358763e-09,1.302597831117427620e-09,1.822900038773976165e-10,9.695180007172470544e-11
1.000000000000000000e+02,2.399000000000000000e+03,2.399000000000000057e+02,7.000000000000000000e+00,7.572327044025157328e+00,1.145208216286040309e-07,1.381190785564210907e-07,9.011527316513211472e-09,1.578754030278976500e-09,2.247126867775755524e-10,1.174122006632341018e-10
1.000000000000000000e+02,2.399000000000000000e+03,2.399000000000000057e+02,8.000000000000000000e+00,8.654088050314465264e+00,1.145472481748761587e-07,1.382281378844564570e-07,9.246191677201959767e-09,1.882817912865037569e-09,2.704824690509524417e-10,1.389377812592728797e-10
1.000000000000000000e+02,2.399000000000000000e+03,2.399000000000000057e+02,9.000000000000000000e+00,9.735849056603774088e+00,1.145839017842592962e-07,1.383723668997308844e-07,9.508739085354187099e-09,2.214151862282177107e-09,3.193790044234042938e-10,1.613849979874866887e-10
1.000000000000000000e+02,2.399000000000000000e+03,2.399000000000000057e+02,1.000000000000000000e+01,1.081761006289308114e+01,1.146307224961212658e-07,1.385515177648324003e-07,9.798807225403962691e-09,2.572115494778782019e-09,3.711921962807381085e-10,1.846259279672831859e-10
1.000000000000000000e+02,2.399000000000000000e+03,2.399000000000000057e+02,1.100000000000000000e+01,1.189937106918238996e+01,1.146876457065082990e-07,1.387653280198195494e-07,1.011602410880208230e-08,2.956065920589764609e-09,4.257216450616040604e-10,2.085464314592938520e-10
1.000000000000000000e+02,2.399000000000000000e+03,2.399000000000000057e+02,1.200000000000000000e+01,1.298113207547169878e+01,1.147546025501331785e-07,1.390135210780062679e-07,1.046000834625854219e-08,3.365357995933246995e-09,4.827761266473334645e-10,2.330445324334718600e-10
1.000000000000000000e+02,2.399000000000000000e+03,2.399000000000000057e+02,1.300000000000000000e+01,1.406289308176100583e+01,1.148315201413860759e-07,1.392958066081965657e-07,1.083036940922028483e-08,3.799344565785053338e-09,5.421730999596483265e-10,2.580289915359202171e-10
