Filename,Step,Neutron Flux,Neutron Flux Change
specific_data_0.npz,19999,0.3998594565145153,0.0002652235310596218
specific_data_1.npz,19999,0.39733288251492227,0.0002509856520671594
specific_data_2.npz,19999,0.394822319106935,0.00023691735688835536
specific_data_3.npz,19999,0.3923276645183245,0.00022301707249816616
specific_data_4.npz,19999,0.3898488176490955,0.0002092832578626247
specific_data_5.npz,19999,0.3873856780569488,0.00019571430792120204
specific_data_6.npz,19999,0.38493814594313086,0.00018230869563984342
specific_data_7.npz,19999,0.38250612208411783,0.0001690649330088334
specific_data_8.npz,19999,0.3800895079973361,0.00015598148594975214
specific_data_9.npz,19999,0.377688205689247,0.0001430568044247238
specific_data_10.npz,19999,0.3753021179204392,0.0001302894809485089
specific_data_11.npz,19999,0.3729311480126363,0.0001176779422407126
specific_data_12.npz,19999,0.37057519990239784,0.00010522082922737042
specific_data_13.npz,19999,0.36823417813980663,9.291660262866763e-05
specific_data_14.npz,19999,0.3659079878597991,8.076386981969996e-05
specific_data_15.npz,19999,0.3635965348811931,6.876116617759997e-05
specific_data_16.npz,19999,0.36129972551730455,5.690711845640628e-05
specific_data_17.npz,19999,0.3590174667783644,4.520029235344225e-05
specific_data_18.npz,19999,0.35674966620800147,3.3639306451505036e-05
specific_data_19.npz,19999,0.354496231936095,2.222277623031843e-05
specific_data_20.npz,19999,0.352257072711374,1.0949319423358972e-05
specific_data_21.npz,19999,0.3500320978501619,-1.8238706656070747e-07
specific_data_22.npz,19999,0.34782121721678894,-1.1173718056367576e-05
specific_data_23.npz,19999,0.3456243412845223,-2.202599086453816e-05
specific_data_24.npz,19999,0.34344138110442574,-3.2740535615971567e-05
specific_data_25.npz,19999,0.34127224826135666,-4.331868176388198e-05
specific_data_26.npz,19999,0.3391168549012432,-5.376169971982314e-05
specific_data_27.npz,19999,0.33697511379143136,-6.407088745108425e-05
specific_data_28.npz,19999,0.3348469382077741,-7.424752472284801e-05
specific_data_29.npz,19999,0.33273224195097756,-8.429288946287805e-05
