schedule_name,state_order,state_id,st_id,op_count,categories,calls
core_step_kernel_n200_s1,1,1,1,6,"{""axi_read"": 6}",{}
core_step_kernel_n200_s1,2,2,2,1,"{""user_call"": 1}","{""core_step_kernel_impl"": 1}"
core_step_kernel_n200_s1,3,3,3,25,"{""other"": 1, ""spec_bits"": 6, ""spec_interface"": 16, ""spec_top"": 1, ""user_call"": 1}","{""core_step_kernel_impl"": 1}"
