kernel,baseline_mid_us,current_mid_us,latency_ratio,lut_ratio,ff_ratio,dsp_ratio,bram_18k_ratio
core,382.18,275.06,0.7197132241352242,3.6927800240880937,3.897492537687027,4.060565275908479,0.0847457627118644
bop,66.46,46.68,0.7023773698465243,2.155763976460698,2.614851139791124,2.7419354838709675,0.46153846153846156
