metric,board,reference,abs_diff,rel_diff
Ts_HX1_0_K,904.9560697093124,904.956074091238,-4.381925577945367e-06,-4.842141738587391e-09
Tss_HX1_L_K,896.0213945038984,896.0213960813288,-1.5774304529259098e-06,-1.7604830195179087e-09
Tss_HX2_0_K,816.2673853477082,816.2673924522198,-7.104511610123154e-06,-8.703657252288215e-09
Tsss_HX2_L_K,846.4997089422715,846.4997053781764,3.5640950954984874e-06,4.210391418749776e-09
Tsss_pp_0_K,807.9801062815578,807.6079306605718,0.3721756209860132,0.0004608370062458367
