variant,core_avg_us,bop_avg_us,total_avg_us
baseline,16.786059999999992,2.830845,19.616904999999992
analytic,16.7798,2.139770000000003,18.919570000000004
speedup,1.000373067617015,1.3229669543922926,1.0368578672771098
